,company_name,experience,location,skills,posted_at
60,ion trading india pvt. ltd.,0 - 3 yrs,Italy,"hive  ,  cloudera  ,  algorithms  ,  data mining  ,  dbms  ,  sql  ,  java  ,  xml  ,  mysql  ,  hadoop  ,  big data  ,  hbase  ,  python  ,  microsoft azure  ,  problem solving  ,  impala  ,  machine learning  ,  hdfs",Posted few days ago
61,Armaco Chemical Processes Systems Pvt Ltd,7 - 10 yrs,Jeddah,"reports  ,  cma  ,  management accounting  ,  reporting  ,  cfa  ,  excel  ,  finance",Posted 1 day ago
62,demoport,3 - 5 yrs,Chennai,"data mining  ,  problem solving  ,  sql  ,  cassandra  ,  system architecture  ,  hdfs  ,  hadoop",Posted few days ago
63,nutanxt technologies,1 - 4 yrs,Pune,"data sources  ,  deploying application  ,  methods  using advanced",Posted few days ago
64,aeries technology group  ( sabre industries ),5 - 8 yrs,"Hyderabad/Secunderabad,  Mumbai,  Bengaluru / Bangalore","hive  ,  fundamentals  ,  algorithms  ,  information technology  ,  data mining  ,  bi  ,  sql  ,  data extraction  ,  atg  ,  mongodb  ,  python  ,  rdbms  ,  machine learning  ,  nosql  ,  cassandra  ,  infrastructure",Posted few days ago
65,pratibha analytics,3 - 20 yrs,Hyderabad/Secunderabad,"advanced analytics  ,  sas  ,  data science  ,  spss",Posted few days ago
66,Innoplexus Consulting Services Private Limited,4 - 8 yrs,Pune,"algorithms  ,  artificial intelligence  ,  hci  ,  image processing  ,  python  ,  machine learning",Posted 3 days ago
67,GenieTalk,0 - 3 yrs,Indore,"hive  ,  algorithms  ,  data mining  ,  lucene  ,  sql  ,  pig  ,  docker  ,  d3.js  ,  java  ,  git  ,  mongodb  ,  python  ,  natural language processing  ,  svn  ,  machine learning",Posted few days ago
68,ispatial techno solutions pvt ltd.,7 - 10 yrs,Hyderabad/Secunderabad,"algorithms  ,  c    ,  scala  ,  data mining  ,  sql  ,  java  ,  mysql  ,  hadoop  ,  middleware  ,  python  ,  oracle  ,  mq  ,  nosql",Posted few days ago
69,covalense global,7 - 10 yrs,Hyderabad/Secunderabad,"algorithms  ,  data mining  ,  sql  ,  big data  ,  python  ,  machine learning",Posted few days ago
70,nielsensports,0 - 3 yrs,Jeddah,"artificial intelligence  ,  database  ,  problem solving  ,  team player  ,  machine learning  ,  data communication",Posted few days ago
71,SRINSOFT TECHNOLOGIES,3 - 5 yrs,Chennai,"algorithms  ,  bi  ,  sql  ,  hadoop  ,  big data  ,  python  ,  machine learning",Posted few days ago
72,Travel Centric Technology,6 - 9 yrs,Bengaluru / Bangalore,"algorithms  ,  data mining  ,  java  ,  c#  ,  rest  ,  python  ,  team player  ,  machine learning  ,  artificial neural networks  ,  .net",Posted few days ago
73,alliance recruitment agency,3 - 4 yrs,Noida/Greater Noida,"algorithms  ,  data mining  ,  bi  ,  sql  ,  java  ,  unix shell scripting  ,  linux  ,  big data  ,  python  ,  machine learning  ,  infrastructure  ,  unix",Posted few days ago
74,Tridiagonal Solutions Pvt. Ltd.,1 - 4 yrs,Pune,"manufacturing  ,  chemical engineering  ,  chemical engineer  ,  innovation  ,  team work  ,  process data  ,  process engineering",Posted few days ago
75,Exxonmobil Company India Pvt Ltd,3 - 6 yrs,Malaysia,"information technology  ,  database  ,  object oriented programming  ,  pattern recognition  ,  python  ,  machine learning",Posted few days ago
76,Prompt Softech,2 - 3 yrs,Ahmedabad,"algorithms  ,  python  ,  rdbms  ,  data mining  ,  bi  ,  machine learning  ,  sql  ,  hadoop  ,  technical skills",Posted few days ago
77,IDP EDUCATION INDIA PVT LTD,1 - 2 yrs,"Gurgaon,  Chennai","mathematics  ,  english  ,  language teaching  ,  science  ,  ielts  ,  statistics",Posted few days ago
78,Draup,5 - 8 yrs,Bengaluru / Bangalore,"algorithms  ,  python  ,  machine learning  ,  pattern recognition",Posted few days ago
79,pegasus knowledge solutions india pvt ltd.,8 - 10 yrs,Bengaluru / Bangalore,"algorithms  ,  python  ,  sas  ,  sql",Posted few days ago
